customer_id,origination_month,segment,subsegment,income_band,region,acquisition_channel,payroll_flag,digital_flag,autopay_flag,risk_band,product_tier,credit_line,age_band,tenure_months
C000001,2023-04,Mass,Young,Medium,South,Digital,1,1,1.0,Low,Gold,46860.0,25-34,32
C000002,2024-11,Emerging,Digital NewToBank,Medium,West,Partner,0,1,0.0,Medium,Classic,14709.0,55+,13
C000003,2024-07,AFFLUENT,Premium,High,Central,Campaign,1,1,0.0,High,Platinum,139839.0,55+,17
C000004,2024-02,Mass,Standard,Medium,Central,Campaign,0,0,0.0,Medium,Classic,12913.0,35-44,22
C000005,2025-12,Mass,Payroll,Medium,Central,Digital,1,1,0.0,Medium,Classic,11495.0,55+,1
C000006,2022-02,Mass,Standard,Low,South,Digital,0,1,0.0,Medium,Gold,22682.0,55+,46
C000007,2025-08,Mass,Payroll,Low,Central,Campaign,1,1,1.0,Medium,Classic,12846.0,25-34,4
C000008,2025-08,Affluent,Payroll Premium,High,Central,Campaign,1,1,1.0,Low,Black,205677.0,35-44,4
C000009,2023-11,Mass,Standard,High,North,Digital,1,1,1.0,Medium,Classic,10955.0,18-24,25
C000010,2025-12,AFFLUENT,Premium,High,West,Branch,0,0,0.0,Medium,Platinum,100227.0,35-44,1
C000011,2023-08,Mass,Standard,Medium,South,Branch,0,1,1.0,Medium,Classic,12556.0,35-44,28
C000012,2025-06,Emerging,Growth,High,North,Digital,1,1,0.0,Medium,Gold,52216.0,45-54,6
C000013,2025-06,AFFLUENT,Premium,High,Central,Branch,1,1,0.0,Low,Black,181868.0,18-24,6
C000014,2025-01,Mass,Payroll,Low,Central,Branch,1,1,1.0,Low,Classic,12115.0,35-44,11
C000015,2025-06,Mass,Young,Medium,Central,Branch,0,0,1.0,Low,Classic,13987.0,45-54,6
C000016,2025-04,Mass,Standard,Low,Central,Branch,0,0,1.0,High,Classic,19925.0,35-44,8
C000017,2024-07,MASS,Young,Low,South,Campaign,0,1,0.0,High,Classic,12156.0,35-44,17
C000018,2022-09,Mass,Payroll,Low,North,Branch,1,0,0.0,Medium,Classic,9682.0,35-44,39
C000019,2025-08,Mass,Young,Low,Central,Campaign,0,1,0.0,Low,Platinum,97137.0,18-24,4
C000020,2024-04,MASS,Standard,Low,Central,Branch,0,1,0.0,Medium,Classic,10913.0,35-44,20
C000021,2023-12,Mass,Standard,Medium,North,Campaign,1,1,1.0,Medium,Classic,6307.0,25-34,24
C000022,2023-01,Mass,Standard,High,Central,Campaign,0,0,0.0,High,Classic,15306.0,55+,35
C000023,2024-10,Mass,Standard,Low,North,Campaign,0,1,0.0,Low,Classic,5000.0,55+,14
C000024,2022-12,Mass,Standard,Low,Central,Campaign,0,1,0.0,Medium,Gold,23585.0,45-54,36
C000025,2023-12,Mass,Young,Medium,Central,Branch,0,1,1.0,High,Gold,29385.0,25-34,24
C000026,2022-08,Affluent,Premium,High,West,Partner,0,0,0.0,High,Gold,46354.0,55+,40
C000027,2023-10,Mass,Young,Medium,South,Branch,1,0,0.0,Medium,Classic,14234.0,18-24,26
C000028,2024-06,Mass,Payroll,Medium,Central,Partner,1,1,1.0,Low,Gold,52754.0,55+,18
C000029,2022-06,Mass,Standard,High,Central,Digital,0,1,0.0,Low,Platinum,102187.0,25-34,42
C000030,2024-09,Mass,Standard,Low,Central,Branch,1,1,1.0,Low,Classic,11073.0,25-34,15
C000031,2023-08,Mass,Young,Low,North,Campaign,1,1,1.0,Low,Classic,5000.0,35-44,28
C000032,2025-10,Mass,Payroll,Low,North,Campaign,1,0,0.0,High,Gold,31186.0,35-44,2
C000033,2023-09,Mass,Standard,Medium,North,Branch,0,1,0.0,High,Classic,14913.0,35-44,27
C000034,2025-12,Emerging,Digital NewToBank,High,Central,Campaign,0,1,1.0,Low,Classic,6553.0,45-54,1
C000035,2025-05,Emerging,Growth,High,South,Branch,0,1,0.0,Low,Classic,14206.0,18-24,7
C000036,2025-07,Affluent,Wealth,Very High,Central,Branch,0,0,1.0,Medium,Platinum,94139.0,25-34,5
C000037,2022-10,Mass,Standard,Low,West,Campaign,0,0,0.0,High,Classic,11436.0,45-54,38
C000038,2025-08,Mass,Standard,Medium,North,Branch,0,0,0.0,Medium,Classic,11299.0,35-44,4
C000039,2023-02,Affluent,Premium,High,West,Branch,0,1,0.0,Low,Gold,28791.0,25-34,34
C000040,2024-08,Mass,Young,High,Central,Partner,1,0,0.0,Medium,Classic,6092.0,35-44,16
C000041,2023-05,Mass,Young,Low,North,Digital,0,1,0.0,Medium,Classic,5000.0,18-24,31
C000042,2023-01,Mass,Standard,Low,West,Digital,0,1,1.0,High,Classic,17091.0,25-34,35
C000043,2024-09,Mass,Standard,Medium,Central,Digital,0,1,0.0,Medium,Gold,37805.0,35-44,15
C000044,2022-01,Emerging,Growth,Medium,Central,Digital,1,1,0.0,Low,Classic,14444.0,25-34,47
C000045,2025-03,Mass,Standard,Medium,North,Campaign,0,0,0.0,Low,Classic,13887.0,35-44,9
C000046,2023-10,Affluent,Wealth,High,Central,Digital,1,1,1.0,Medium,Platinum,99091.0,35-44,26
C000047,2025-09,Mass,Standard,Medium,West,Campaign,0,1,0.0,Medium,Classic,22569.0,25-34,3
C000048,2023-05,Mass,Standard,Medium,Central,Branch,0,0,0.0,Low,Classic,13635.0,55+,31
C000049,2024-08,Mass,Standard,Medium,West,Digital,0,1,1.0,High,Gold,48163.0,35-44,16
C000050,2022-08,Masivo,Payroll,Medium,Central,Digital,1,1,1.0,High,Classic,8561.0,45-54,40
C000051,2025-10,Emerging,Digital NewToBank,Medium,Central,Digital,0,1,1.0,Medium,Classic,13920.0,35-44,2
C000052,2023-10,Affluent,Wealth,High,North,Branch,0,0,0.0,Medium,Platinum,142033.0,45-54,26
C000053,2023-03,Emerging,Digital NewToBank,Low,Central,Partner,0,1,1.0,Low,Classic,14080.0,35-44,33
C000054,2025-05,Emerging,Growth,Medium,Central,Branch,0,1,0.0,High,Classic,10582.0,35-44,7
C000055,2025-01,Mass,Standard,Medium,South,Branch,1,1,1.0,High,Classic,11970.0,25-34,11
C000056,2025-06,Emerging,Digital NewToBank,Low,Central,Branch,0,1,0.0,Low,Classic,5000.0,18-24,6
C000057,2025-09,Mass,Payroll,Low,West,Campaign,1,1,0.0,High,Gold,24542.0,25-34,3
C000058,2023-07,Mass,Standard,Medium,West,Branch,0,1,0.0,Medium,Gold,41785.0,25-34,29
C000059,2024-02,Masivo,Standard,Low,Central,Partner,1,0,0.0,High,Gold,42532.0,35-44,22
C000060,2024-05,Mass,Young,Low,South,Partner,0,1,0.0,Medium,Gold,40404.0,25-34,19
C000061,2023-01,Mass,Payroll,Medium,West,Branch,1,1,1.0,High,Classic,8882.0,25-34,35
C000062,2025-07,Mass,Payroll,Low,Central,Digital,0,1,0.0,High,Classic,13063.0,45-54,5
C000063,2025-11,Affluent,Payroll Premium,High,Central,Branch,1,0,1.0,Low,Platinum,125462.0,25-34,1
C000064,2023-05,Mass,Standard,Medium,Central,Digital,1,1,0.0,Medium,Gold,15654.0,45-54,31
C000065,2022-05,Mass,Standard,Medium,South,Digital,0,1,0.0,Medium,Gold,31944.0,45-54,43
C000066,2025-03,Mass,Young,Low,Central,Campaign,0,1,0.0,Medium,Gold,30370.0,45-54,9
C000067,2025-03,Mass,Standard,High,Central,Branch,0,1,1.0,Low,Classic,13362.0,25-34,9
